ID,Nacimiento,Estado_Civil,Nivel_Educacion,Pais,Ingreso_anual_hogar,Hijos_menores,Hijos_adolescentes,Dias_antiguedad,Monto_Bebidas_Alcoholicas,Monto_Frutas_Verduras,Monto_Carnes,Monto_Pescaderia,Monto_Dulces,Monto_Productos_Premium
1826,1970,Divorciado_a,Graduado,Spain,"84835,0000",0,0,2632,189,104,379,111,189,218
1,1961,Soltero_a,Graduado,Canada,"57091,0000",0,0,2633,464,5,64,7,0,37
10476,1958,Casado_a,Graduado,USA,"67267,0000",0,1,2666,134,11,59,15,2,30
1386,1967,Convivencia,Graduado,Australia,"32474,0000",1,1,2490,10,0,1,0,0,0
5371,1989,Soltero_a,Graduado,Spain,"21474,0000",1,0,2583,6,16,24,11,0,34
7348,1958,Soltero_a,Doctorado,Spain,"71691,0000",0,0,2723,336,130,411,240,32,43
4073,1954,Casado_a,Graduado,Alemania,"63564,0000",0,0,2770,769,80,252,15,34,65
1991,1967,Convivencia,Graduado,Spain,"44931,0000",0,1,2781,78,0,11,0,0,7
4047,1954,Casado_a,Doctorado,USA,"65324,0000",0,1,2494,384,0,102,21,32,5
9477,1954,Casado_a,Doctorado,India,"65324,0000",0,1,2494,384,0,102,21,32,5
2079,1947,Casado_a,Graduado,USA,"81044,0000",0,0,2803,450,26,535,73,98,26
5642,1979,Convivencia,Master,Spain,"62499,0000",1,0,2909,140,4,61,0,13,4
10530,1959,Viudo_a,Doctorado,India,"67786,0000",0,0,2971,431,82,441,80,20,102
2964,1981,Casado_a,Graduado,Canada,"26872,0000",0,0,2875,3,10,8,3,16,32
10311,1969,Casado_a,Graduado,Spain,"4428,0000",0,1,3034,16,4,12,2,4,321
837,1977,Casado_a,Graduado,Spain,"54809,0000",1,1,2851,63,6,57,13,13,22
10521,1977,Casado_a,Graduado,Spain,"54809,0000",1,1,2851,63,6,57,13,13,22
10175,1958,Divorciado_a,Doctorado,Spain,"32173,0000",0,1,3156,18,0,2,0,0,2
1473,1960,Soltero_a,Graduado,Canada,"47823,0000",0,1,2960,53,1,5,2,1,10
2795,1958,Soltero_a,Master,Canada,"30523,0000",2,1,3157,5,0,3,0,0,5
2285,1954,Convivencia,Master,Arabia_Saudita,"36634,0000",0,1,3016,213,9,76,4,3,30
115,1966,Soltero_a,Master,India,"43456,0000",0,1,3079,275,11,68,25,7,7
10470,1979,Casado_a,Master,Alemania,"40662,0000",1,0,3090,40,2,23,0,4,23
4065,1976,Casado_a,Doctorado,Spain,"49544,0000",1,0,2828,308,0,73,0,0,23
10968,1969,Soltero_a,Graduado,India,"57731,0000",0,1,3202,266,21,300,65,8,44
5985,1965,Soltero_a,Master,Spain,"33168,0000",0,1,3243,80,1,37,0,1,3
5430,1956,Convivencia,Graduado,Spain,"54450,0000",1,1,3272,454,0,171,8,19,32
8432,1956,Convivencia,Graduado,Spain,"54450,0000",1,1,3272,454,0,171,8,19,32
453,1956,Viudo_a,Doctorado,Spain,"35340,0000",1,1,2619,27,0,12,0,1,5
9687,1975,Soltero_a,Graduado,Canada,"73170,0000",0,0,2648,184,174,256,50,30,32
8890,1971,Divorciado_a,Doctorado,Spain,"65808,0000",1,1,2649,155,7,80,13,7,10
9264,1986,Casado_a,Graduado,Canada,"79529,0000",0,0,2682,423,42,706,73,197,197
5824,1972,Convivencia,Doctorado,Australia,"34578,0000",2,1,2491,7,0,1,0,0,0
5794,1974,Casado_a,Doctorado,India,"46374,0000",0,1,2723,408,0,21,0,0,17
3068,1990,Casado_a,Graduado,Spain,"18351,0000",0,0,2862,1,12,9,0,14,7
7962,1987,Soltero_a,Doctorado,Spain,"95169,0000",0,0,2911,1285,21,449,106,20,20
2681,1984,Casado_a,Graduado,Spain,"65370,0000",0,0,3156,71,22,112,138,89,29
10141,1960,Divorciado_a,Master,Arabia_Saudita,"39228,0000",0,0,2886,7,1,6,0,3,3
3725,1961,Soltero_a,Doctorado,Spain,"84865,0000",0,0,2916,1248,16,349,43,16,16
3767,1968,Casado_a,Graduado,Spain,"61314,0000",0,1,3049,378,0,189,97,172,172
5585,1972,Soltero_a,Graduado,Canada,"21359,0000",1,0,3054,12,2,17,6,1,10
7030,1955,Casado_a,Doctorado,Spain,"66465,0000",0,1,3075,1200,0,204,38,29,14
1524,1983,Soltero_a,Graduado,Spain,"81698,0000",0,0,3161,709,45,115,30,160,45
3657,1986,Soltero_a,Graduado,Spain,"39146,0000",1,0,3119,94,1,33,13,12,12
5740,1970,Divorciado_a,Graduado,Spain,"25959,0000",1,1,3119,4,2,12,7,5,26
9595,1961,Convivencia,Graduado,Spain,"64260,0000",0,0,2859,539,169,816,20,0,30
3158,1973,Casado_a,Graduado,Spain,"32300,0000",1,0,3104,13,3,6,6,5,6
5114,1965,Casado_a,Master,Australia,"74806,0000",0,1,3176,670,9,249,0,28,9
340,1970,Divorciado_a,Graduado,Alemania,"72967,0000",0,1,3180,158,35,179,0,0,125
8805,1960,Soltero_a,Graduado,USA,"48904,0000",0,1,3487,283,10,38,0,13,27
1241,1984,Casado_a,Graduado,Alemania,"14796,0000",1,0,3269,13,3,8,7,4,16
1402,1954,Casado_a,Master,Alemania,"66991,0000",0,0,3216,496,36,460,189,60,12
7264,1978,Soltero_a,Graduado,Arabia_Saudita,"52195,0000",2,1,2460,12,0,4,0,0,1
1619,1956,Casado_a,Graduado,Spain,"90369,0000",0,0,2681,292,51,981,224,23,17
6398,1974,Casado_a,Secundario,Spain,"18393,0000",1,0,2711,7,10,13,16,0,4
1857,1952,Soltero_a,Graduado,Spain,"47139,0000",1,1,2645,46,0,12,0,2,23
4877,1973,Casado_a,Master,India,"38576,0000",0,1,2706,34,0,7,0,0,0
3066,1975,Convivencia,Doctorado,Arabia_Saudita,"61905,0000",0,1,2707,167,0,43,6,2,13
10286,1962,Casado_a,Graduado,Arabia_Saudita,"83715,0000",0,0,2738,318,8,407,150,35,8
1992,1964,Casado_a,Graduado,Spain,"60597,0000",0,1,2798,522,0,257,32,16,66
4246,1982,Soltero_a,Master,Spain,"6560,0000",0,0,2818,67,11,26,4,3,262
10623,1961,Convivencia,Master,Spain,"48330,0000",0,1,2845,28,0,4,0,0,0
4867,1968,Soltero_a,Doctorado,Spain,"38236,0000",1,1,2901,58,0,18,2,0,10
3112,1977,Casado_a,Master,Spain,"22701,0000",1,0,3035,2,4,9,0,4,5
4865,1974,Divorciado_a,Master,Australia,"53367,0000",1,1,2921,229,7,140,10,3,11
6287,1986,Convivencia,Graduado,Spain,"34728,0000",1,0,2953,14,0,16,0,0,6
4405,1956,Casado_a,Master,Australia,"63915,0000",0,2,2953,622,7,115,30,0,15
5332,1960,Casado_a,Graduado,India,"82504,0000",0,0,2956,362,50,431,134,35,54
1519,1972,Soltero_a,Doctorado,Spain,"38578,0000",1,1,2991,38,4,22,3,3,3
9080,1972,Soltero_a,Doctorado,Spain,"38578,0000",1,1,2991,38,4,22,3,3,3
1772,1975,Casado_a,Doctorado,Canada,"79174,0000",0,0,2859,1074,37,518,193,92,129
5341,1962,Divorciado_a,Graduado,Arabia_Saudita,"81975,0000",0,1,3043,983,76,184,180,138,27
5510,1977,Casado_a,Master,Spain,"43263,0000",0,1,3204,262,6,61,0,10,102
3887,1970,Soltero_a,Graduado,India,"27242,0000",1,0,3214,3,17,26,20,1,39
7022,1971,Casado_a,Graduado,Arabia_Saudita,"76445,0000",1,0,3258,739,107,309,140,80,35
9999,1965,Convivencia,Graduado,Spain,"75276,0000",0,0,3259,610,105,125,137,42,21
10352,1963,Viudo_a,Graduado,Arabia_Saudita,"34213,0000",1,1,3339,50,4,28,6,3,26
7919,1976,Convivencia,Doctorado,Spain,"72335,0000",0,0,3304,1285,105,653,28,21,0
4114,1964,Casado_a,Master,Australia,"79143,0000",0,0,3217,650,37,780,27,167,32
7990,1947,Casado_a,Graduado,Canada,"27469,0000",0,0,3491,9,1,2,3,2,0
9888,1969,Convivencia,Graduado,Spain,"68695,0000",0,0,2623,458,81,356,106,50,40
4399,1969,Convivencia,Graduado,Canada,"68695,0000",0,0,2623,458,81,356,106,50,40
4452,1957,Soltero_a,Graduado,Alemania,"50388,0000",0,1,2651,292,6,37,0,3,34
4785,1970,Convivencia,Doctorado,Arabia_Saudita,"77622,0000",0,2,2695,520,7,154,19,0,14
8461,1962,Divorciado_a,Graduado,Spain,"46102,0000",2,1,2523,14,0,1,0,0,1
3878,1980,Soltero_a,Graduado,Spain,"31859,0000",1,0,2741,3,4,7,15,8,11
9612,1987,Soltero_a,Graduado,Spain,"23830,0000",0,0,2616,1,8,6,4,8,16
4098,1973,Casado_a,Graduado,Australia,"24639,0000",1,1,2771,20,3,16,0,4,1
158,1945,Convivencia,Doctorado,Spain,"71604,0000",0,0,2843,345,53,528,98,75,97
3896,1984,Casado_a,Graduado,Spain,"27255,0000",1,0,2972,22,1,11,0,1,2
9970,1977,Convivencia,Graduado,Canada,"55375,0000",0,1,2874,42,11,57,10,28,14
4002,1960,Casado_a,Doctorado,Spain,"77037,0000",0,1,2878,463,96,333,168,53,10
10914,1970,Soltero_a,Graduado,Spain,"24163,0000",1,1,2820,4,1,7,2,1,2
7279,1969,Convivencia,Doctorado,USA,"69476,0000",0,0,2891,260,86,559,63,9,67
10582,1979,Casado_a,Graduado,Alemania,"72063,0000",0,1,3098,180,32,348,76,32,90
4470,1962,Casado_a,Master,Spain,"58646,0000",0,1,2885,62,1,44,6,5,22
6183,1962,Casado_a,Master,Alemania,"58646,0000",0,1,2885,62,1,44,6,5,22
6379,1949,Viudo_a,Master,USA,"47570,0000",1,1,3015,67,1,20,0,2,31
8601,1980,Casado_a,Graduado,Australia,"80011,0000",0,1,3045,421,76,536,82,178,102
4827,1956,Soltero_a,Doctorado,Spain,"54998,0000",0,1,2888,154,22,202,39,30,8
6715,1948,Soltero_a,Doctorado,Spain,"60200,0000",0,1,3132,502,19,132,0,6,26
10676,1982,Casado_a,Graduado,Spain,"63211,0000",0,0,3488,145,193,459,205,26,145
1041,1973,Soltero_a,Doctorado,Arabia_Saudita,"48432,0000",0,1,3238,322,3,50,4,3,42
492,1973,Soltero_a,Doctorado,Canada,"48432,0000",0,1,3238,322,3,50,4,3,42
11133,1973,Soltero_a,Doctorado,India,"48432,0000",0,1,3238,322,3,50,4,3,42
4491,1949,Casado_a,Master,Spain,"62845,0000",1,1,3520,1099,0,45,0,0,34
873,1949,Casado_a,Master,Spain,"62845,0000",1,1,3520,1099,0,45,0,0,34
1631,1965,Convivencia,Doctorado,Alemania,"65220,0000",0,0,3461,890,63,292,0,25,12
8278,1990,Casado_a,Doctorado,Spain,"74214,0000",0,0,3291,863,83,547,86,99,33
6815,1980,Casado_a,Graduado,Spain,"96547,0000",0,0,2656,448,21,125,52,101,62
254,1955,Convivencia,Graduado,Spain,"53863,0000",0,1,2662,399,4,30,6,4,30
1349,1970,Casado_a,Graduado,India,"50447,0000",2,0,2688,85,7,24,2,3,27
2534,1953,Casado_a,Graduado,Australia,"37716,0000",0,1,2688,97,1,41,6,2,41
2130,1982,Convivencia,Graduado,Arabia_Saudita,"45203,0000",2,0,2717,35,3,67,10,8,24
2296,1975,Casado_a,Master,Spain,"37368,0000",1,0,2814,3,2,11,2,2,10
3799,1955,Casado_a,Graduado,USA,"67225,0000",0,1,2834,315,35,322,46,7,143
11084,1976,Convivencia,Master,Canada,"65104,0000",0,1,2846,738,0,232,13,20,50
5172,1976,Convivencia,Master,Spain,"65104,0000",0,1,2846,738,0,232,13,20,50
9504,1949,Casado_a,Master,Spain,"81698,0000",0,0,3002,179,28,520,111,123,47
850,1968,Soltero_a,Graduado,Spain,"70566,0000",0,1,3003,381,28,215,84,28,21
4477,1958,Convivencia,Graduado,Alemania,"69096,0000",0,1,2894,247,49,159,7,82,109
1945,1962,Casado_a,Graduado,Spain,"71434,0000",0,1,2903,711,36,217,172,96,168
7685,1978,Casado_a,Graduado,Spain,"33039,0000",1,0,2912,30,8,12,8,8,12
6310,1978,Casado_a,Graduado,Canada,"33039,0000",1,0,2912,30,8,12,8,8,12
